Date,Product,Branch,Price,Quantity,Total_Sales,Profit
2025-08-21,Headphones,Alexandria,1497,4,5988,1796.3999999999999
2025-11-22,Headphones,Cairo,328,2,656,196.79999999999998
2025-02-28,Laptop,Cairo,254,1,254,76.2
2025-08-03,Monitor,Cairo,318,2,636,190.79999999999998
2025-11-02,Tablet,Mansoura,252,4,1008,302.4
2026-01-01,Tablet,Cairo,1412,2,2824,847.1999999999999
2025-11-03,Headphones,Alexandria,793,3,2379,713.6999999999999
2025-07-09,Headphones,Mansoura,1125,1,1125,337.5
2025-06-15,Laptop,Mansoura,1016,2,2032,609.6
2025-08-17,Headphones,Alexandria,1469,3,4407,1322.1
2025-12-09,Smartphone,Alexandria,316,3,948,284.4
2025-09-02,Smartphone,Cairo,1194,5,5970,1791.0
2025-10-19,Tablet,Mansoura,140,2,280,84.0
2025-12-22,Smartphone,Mansoura,826,3,2478,743.4
2025-12-31,Headphones,Alexandria,1334,2,2668,800.4
2025-12-30,Monitor,Mansoura,1253,2,2506,751.8
2025-04-27,Smartphone,Alexandria,680,5,3400,1020.0
2025-03-24,Tablet,Cairo,828,3,2484,745.1999999999999
2025-07-29,Monitor,Mansoura,718,2,1436,430.8
2025-03-09,Smartphone,Alexandria,260,5,1300,390.0
2025-11-11,Laptop,Alexandria,529,1,529,158.7
2025-05-24,Laptop,Cairo,651,3,1953,585.9
2025-04-16,Laptop,Cairo,545,3,1635,490.5
2025-12-06,Headphones,Mansoura,527,4,2108,632.4
2025-12-29,Headphones,Cairo,711,1,711,213.29999999999998
2025-03-03,Smartphone,Mansoura,814,4,3256,976.8
2025-12-16,Headphones,Mansoura,372,2,744,223.2
2025-01-27,Headphones,Cairo,851,3,2553,765.9
2025-07-30,Laptop,Cairo,187,5,935,280.5
2025-08-12,Laptop,Mansoura,1397,3,4191,1257.3
2025-09-17,Monitor,Mansoura,1193,2,2386,715.8
2025-11-06,Laptop,Alexandria,261,4,1044,313.2
2025-11-19,Headphones,Cairo,1082,2,2164,649.1999999999999
2025-03-02,Headphones,Alexandria,972,5,4860,1458.0
2025-04-12,Monitor,Cairo,747,5,3735,1120.5
2025-10-24,Monitor,Cairo,898,3,2694,808.1999999999999
2025-03-01,Headphones,Cairo,1073,4,4292,1287.6
2025-09-21,Headphones,Mansoura,1306,5,6530,1959.0
2025-02-20,Monitor,Cairo,606,3,1818,545.4
2025-11-09,Tablet,Cairo,225,4,900,270.0
2025-03-18,Smartphone,Mansoura,458,4,1832,549.6
2025-11-02,Monitor,Alexandria,245,3,735,220.5
2025-07-14,Headphones,Mansoura,627,2,1254,376.2
2025-03-17,Headphones,Mansoura,915,1,915,274.5
2025-02-25,Headphones,Cairo,173,4,692,207.6
2025-04-24,Headphones,Alexandria,519,2,1038,311.4
2025-10-25,Tablet,Cairo,782,3,2346,703.8
2025-11-14,Tablet,Alexandria,1439,4,5756,1726.8
2025-01-27,Tablet,Mansoura,698,3,2094,628.1999999999999
2025-11-03,Smartphone,Alexandria,962,3,2886,865.8
2025-10-10,Headphones,Mansoura,833,4,3332,999.5999999999999
2025-11-16,Monitor,Cairo,1437,1,1437,431.09999999999997
2025-08-01,Smartphone,Alexandria,245,4,980,294.0
2025-10-26,Headphones,Alexandria,793,5,3965,1189.5
2025-08-20,Laptop,Mansoura,178,2,356,106.8
2025-10-30,Monitor,Alexandria,1468,4,5872,1761.6
2025-08-01,Headphones,Alexandria,758,1,758,227.4
2025-03-02,Headphones,Cairo,467,5,2335,700.5
2025-03-23,Headphones,Alexandria,1133,1,1133,339.9
2025-06-02,Laptop,Alexandria,1252,5,6260,1878.0
2025-08-24,Monitor,Cairo,1451,3,4353,1305.8999999999999
2025-11-16,Smartphone,Alexandria,1023,2,2046,613.8
2025-12-23,Laptop,Alexandria,1423,2,2846,853.8
2025-10-02,Tablet,Mansoura,694,5,3470,1041.0
2025-02-19,Laptop,Alexandria,275,5,1375,412.5
2025-12-04,Laptop,Mansoura,1361,2,2722,816.6
2025-02-21,Monitor,Alexandria,679,4,2716,814.8
2025-04-25,Laptop,Mansoura,1403,2,2806,841.8
2025-09-15,Smartphone,Cairo,526,5,2630,789.0
2025-07-21,Laptop,Cairo,509,1,509,152.7
2025-09-26,Tablet,Alexandria,1104,2,2208,662.4
2025-11-13,Monitor,Mansoura,114,5,570,171.0
2025-07-02,Smartphone,Cairo,467,4,1868,560.4
2025-09-29,Tablet,Alexandria,207,1,207,62.099999999999994
2025-02-04,Smartphone,Alexandria,682,1,682,204.6
2025-11-11,Tablet,Cairo,808,5,4040,1212.0
2025-08-27,Smartphone,Cairo,1358,5,6790,2037.0
2025-02-14,Laptop,Mansoura,573,3,1719,515.6999999999999
2025-11-18,Smartphone,Alexandria,740,3,2220,666.0
2025-04-27,Laptop,Alexandria,907,1,907,272.09999999999997
2025-05-03,Smartphone,Mansoura,927,3,2781,834.3
2025-10-01,Headphones,Mansoura,960,1,960,288.0
2025-05-31,Headphones,Mansoura,653,1,653,195.9
2025-11-26,Laptop,Alexandria,1044,4,4176,1252.8
2025-08-26,Tablet,Alexandria,1106,1,1106,331.8
2025-05-28,Monitor,Mansoura,288,1,288,86.39999999999999
2025-02-27,Smartphone,Mansoura,1225,5,6125,1837.5
2025-01-25,Tablet,Alexandria,157,1,157,47.1
2025-08-12,Laptop,Alexandria,284,1,284,85.2
2025-02-22,Smartphone,Alexandria,391,1,391,117.3
2025-03-29,Headphones,Alexandria,1076,3,3228,968.4
2025-03-19,Headphones,Cairo,312,4,1248,374.4
2025-10-29,Tablet,Alexandria,617,5,3085,925.5
2025-08-01,Tablet,Cairo,213,2,426,127.8
2025-10-05,Tablet,Mansoura,1442,1,1442,432.59999999999997
2025-12-21,Smartphone,Cairo,1333,5,6665,1999.5
2025-11-06,Smartphone,Cairo,1407,3,4221,1266.3
2025-05-29,Smartphone,Alexandria,252,5,1260,378.0
2025-04-19,Headphones,Alexandria,385,4,1540,462.0
2025-11-13,Headphones,Cairo,588,2,1176,352.8
2025-04-10,Smartphone,Mansoura,1128,4,4512,1353.6
2025-02-18,Laptop,Alexandria,1072,1,1072,321.59999999999997
2025-02-14,Laptop,Cairo,915,4,3660,1098.0
2025-05-24,Laptop,Alexandria,957,5,4785,1435.5
2025-05-27,Smartphone,Cairo,376,1,376,112.8
2025-06-05,Tablet,Cairo,1121,1,1121,336.3
2025-10-27,Headphones,Alexandria,969,3,2907,872.1
2025-12-05,Laptop,Cairo,906,1,906,271.8
2025-04-20,Smartphone,Alexandria,1490,3,4470,1341.0
2025-01-14,Smartphone,Cairo,140,5,700,210.0
2025-11-02,Headphones,Alexandria,1028,1,1028,308.4
2025-07-06,Monitor,Cairo,321,2,642,192.6
2025-05-18,Laptop,Cairo,1407,5,7035,2110.5
2025-05-10,Headphones,Cairo,1105,1,1105,331.5
2025-06-05,Headphones,Cairo,561,5,2805,841.5
2025-05-30,Laptop,Cairo,628,2,1256,376.8
2025-08-24,Laptop,Alexandria,1172,2,2344,703.1999999999999
2025-12-07,Laptop,Cairo,1419,2,2838,851.4
2025-12-05,Monitor,Alexandria,652,5,3260,978.0
2025-03-21,Laptop,Cairo,338,3,1014,304.2
2025-10-01,Tablet,Mansoura,284,1,284,85.2
2025-08-06,Smartphone,Mansoura,1121,1,1121,336.3
2025-05-07,Headphones,Mansoura,1130,5,5650,1695.0
2025-09-14,Laptop,Alexandria,1421,1,1421,426.3
2025-10-14,Smartphone,Mansoura,1274,1,1274,382.2
2025-05-09,Smartphone,Alexandria,715,1,715,214.5
2025-06-17,Headphones,Cairo,141,3,423,126.89999999999999
2025-08-03,Laptop,Mansoura,127,3,381,114.3
2025-05-02,Smartphone,Mansoura,1153,1,1153,345.9
2025-02-24,Monitor,Alexandria,1120,1,1120,336.0
2025-03-28,Headphones,Mansoura,972,3,2916,874.8
2025-02-14,Headphones,Mansoura,592,2,1184,355.2
2025-04-30,Monitor,Cairo,1306,5,6530,1959.0
2025-11-17,Tablet,Alexandria,118,3,354,106.2
2025-06-07,Monitor,Cairo,1088,4,4352,1305.6
2025-01-05,Monitor,Cairo,358,1,358,107.39999999999999
2025-12-24,Smartphone,Alexandria,417,3,1251,375.3
2025-11-06,Laptop,Alexandria,886,3,2658,797.4
2025-02-21,Monitor,Mansoura,1195,4,4780,1434.0
2025-03-22,Laptop,Alexandria,1077,2,2154,646.1999999999999
2025-01-15,Laptop,Cairo,844,4,3376,1012.8
2025-08-29,Headphones,Alexandria,324,2,648,194.4
2025-09-02,Laptop,Cairo,611,5,3055,916.5
2025-05-12,Monitor,Cairo,744,3,2232,669.6
2025-06-09,Headphones,Cairo,379,5,1895,568.5
2025-09-26,Laptop,Mansoura,1071,3,3213,963.9
2025-11-23,Headphones,Mansoura,1378,1,1378,413.4
2025-02-18,Monitor,Cairo,726,4,2904,871.1999999999999
2025-08-13,Laptop,Cairo,1005,5,5025,1507.5
2025-07-21,Tablet,Mansoura,162,4,648,194.4
2025-11-09,Monitor,Alexandria,1365,3,4095,1228.5
2025-09-16,Headphones,Cairo,1150,5,5750,1725.0
2025-02-12,Smartphone,Alexandria,368,4,1472,441.59999999999997
2025-08-31,Tablet,Mansoura,1266,2,2532,759.6
2025-12-01,Monitor,Mansoura,1337,3,4011,1203.3
2025-11-10,Tablet,Alexandria,277,2,554,166.2
2025-06-08,Headphones,Cairo,895,2,1790,537.0
2025-11-30,Tablet,Mansoura,1095,1,1095,328.5
2025-11-14,Tablet,Alexandria,286,2,572,171.6
2025-06-03,Smartphone,Alexandria,109,2,218,65.39999999999999
2025-11-09,Headphones,Alexandria,1108,3,3324,997.1999999999999
2025-12-27,Smartphone,Cairo,892,1,892,267.59999999999997
2025-01-16,Monitor,Mansoura,508,3,1524,457.2
2025-11-05,Headphones,Alexandria,887,3,2661,798.3
2025-12-09,Smartphone,Alexandria,743,2,1486,445.8
2025-04-01,Monitor,Alexandria,148,2,296,88.8
2025-09-03,Headphones,Mansoura,1085,4,4340,1302.0
2025-11-11,Laptop,Cairo,332,5,1660,498.0
2025-02-11,Tablet,Cairo,1475,1,1475,442.5
2025-07-01,Tablet,Cairo,864,4,3456,1036.8
2025-10-06,Laptop,Mansoura,1366,4,5464,1639.2
2025-05-26,Laptop,Cairo,176,4,704,211.2
2025-08-21,Laptop,Alexandria,1382,1,1382,414.59999999999997
2025-01-16,Tablet,Cairo,891,3,2673,801.9
2025-08-24,Monitor,Mansoura,785,1,785,235.5
2025-11-20,Laptop,Mansoura,981,2,1962,588.6
2025-03-08,Monitor,Cairo,550,4,2200,660.0
2025-09-07,Headphones,Cairo,388,1,388,116.39999999999999
2025-05-05,Tablet,Mansoura,779,4,3116,934.8
2025-04-04,Monitor,Alexandria,555,5,2775,832.5
2025-12-01,Laptop,Alexandria,1425,3,4275,1282.5
2025-06-27,Headphones,Alexandria,802,5,4010,1203.0
2025-05-13,Monitor,Cairo,933,3,2799,839.6999999999999
2025-04-12,Smartphone,Alexandria,988,3,2964,889.1999999999999
2025-06-08,Tablet,Alexandria,237,5,1185,355.5
2025-04-25,Tablet,Mansoura,1394,5,6970,2091.0
2025-06-13,Monitor,Mansoura,633,2,1266,379.8
2025-09-03,Monitor,Mansoura,1276,3,3828,1148.3999999999999
2025-08-09,Tablet,Cairo,1366,5,6830,2049.0
2025-08-23,Laptop,Mansoura,549,4,2196,658.8
2025-10-18,Headphones,Alexandria,990,1,990,297.0
2025-02-04,Laptop,Alexandria,1439,1,1439,431.7
2025-06-21,Laptop,Alexandria,1173,5,5865,1759.5
2025-08-23,Monitor,Mansoura,1460,1,1460,438.0
2025-02-08,Tablet,Cairo,204,5,1020,306.0
2025-01-21,Headphones,Alexandria,1054,2,2108,632.4
2025-07-14,Tablet,Alexandria,1452,5,7260,2178.0
2025-03-14,Smartphone,Cairo,232,3,696,208.79999999999998
2025-10-16,Monitor,Cairo,1211,4,4844,1453.2
2025-03-29,Headphones,Cairo,128,4,512,153.6
2025-01-10,Monitor,Cairo,250,4,1000,300.0
2025-08-18,Tablet,Cairo,1459,4,5836,1750.8
2025-10-15,Laptop,Alexandria,752,3,2256,676.8
2025-06-12,Tablet,Cairo,1350,3,4050,1215.0
2025-03-12,Smartphone,Mansoura,718,3,2154,646.1999999999999
2025-07-29,Tablet,Mansoura,1489,1,1489,446.7
2025-12-13,Smartphone,Mansoura,1345,1,1345,403.5
2025-09-13,Laptop,Mansoura,239,2,478,143.4
2025-04-12,Headphones,Alexandria,939,5,4695,1408.5
2025-10-29,Headphones,Mansoura,834,3,2502,750.6
2025-04-05,Laptop,Cairo,874,5,4370,1311.0
2025-03-12,Laptop,Alexandria,347,4,1388,416.4
2025-06-03,Monitor,Cairo,186,4,744,223.2
2025-09-15,Smartphone,Alexandria,1117,2,2234,670.1999999999999
2025-12-26,Headphones,Cairo,471,2,942,282.59999999999997
2025-06-10,Tablet,Mansoura,1235,4,4940,1482.0
2025-07-12,Headphones,Cairo,803,2,1606,481.79999999999995
2025-03-13,Tablet,Alexandria,1412,1,1412,423.59999999999997
2025-05-30,Smartphone,Mansoura,414,5,2070,621.0
2025-11-27,Tablet,Cairo,1219,1,1219,365.7
2025-03-24,Tablet,Cairo,1147,1,1147,344.09999999999997
2025-03-14,Smartphone,Cairo,843,5,4215,1264.5
2025-02-21,Headphones,Mansoura,1231,2,2462,738.6
2025-03-23,Smartphone,Mansoura,891,1,891,267.3
2025-02-17,Smartphone,Cairo,1265,2,2530,759.0
2025-09-08,Laptop,Mansoura,824,4,3296,988.8
2025-10-24,Monitor,Cairo,773,4,3092,927.5999999999999
2025-10-08,Laptop,Alexandria,131,4,524,157.2
2025-04-30,Headphones,Mansoura,876,1,876,262.8
2025-06-16,Smartphone,Alexandria,140,1,140,42.0
2025-03-12,Monitor,Alexandria,131,1,131,39.3
2025-03-15,Tablet,Alexandria,226,5,1130,339.0
2025-02-07,Monitor,Mansoura,1011,4,4044,1213.2
2025-04-28,Headphones,Cairo,863,2,1726,517.8
2025-10-10,Monitor,Mansoura,479,5,2395,718.5
2026-01-01,Laptop,Alexandria,698,3,2094,628.1999999999999
2025-10-25,Smartphone,Cairo,1208,3,3624,1087.2
2025-03-06,Laptop,Alexandria,654,2,1308,392.4
2025-12-25,Laptop,Cairo,763,1,763,228.9
2025-11-04,Monitor,Cairo,1055,4,4220,1266.0
2025-01-10,Monitor,Cairo,421,2,842,252.6
2025-05-13,Headphones,Mansoura,419,3,1257,377.09999999999997
2025-04-23,Laptop,Mansoura,1076,2,2152,645.6
2025-09-22,Monitor,Alexandria,1200,5,6000,1800.0
2025-02-13,Monitor,Alexandria,1433,5,7165,2149.5
2025-03-14,Monitor,Cairo,1308,5,6540,1962.0
2025-01-12,Headphones,Mansoura,1389,4,5556,1666.8
2025-03-12,Monitor,Cairo,551,5,2755,826.5
2025-01-10,Headphones,Cairo,1398,3,4194,1258.2
2025-04-04,Laptop,Alexandria,967,2,1934,580.1999999999999
2025-09-28,Tablet,Alexandria,508,3,1524,457.2
2025-08-10,Smartphone,Mansoura,1024,1,1024,307.2
2025-01-09,Laptop,Cairo,670,4,2680,804.0
2025-01-14,Laptop,Alexandria,977,1,977,293.09999999999997
2025-08-16,Headphones,Cairo,593,4,2372,711.6
2025-06-25,Tablet,Cairo,1118,2,2236,670.8
2025-01-31,Monitor,Cairo,940,1,940,282.0
2025-06-11,Monitor,Alexandria,1255,1,1255,376.5
2025-11-02,Headphones,Alexandria,717,4,2868,860.4
2025-03-07,Headphones,Alexandria,195,5,975,292.5
2025-04-30,Monitor,Alexandria,185,5,925,277.5
2025-08-26,Monitor,Mansoura,916,4,3664,1099.2
2025-07-01,Headphones,Cairo,355,2,710,213.0
2025-09-16,Tablet,Alexandria,1103,5,5515,1654.5
2025-10-05,Tablet,Mansoura,1437,2,2874,862.1999999999999
2025-05-10,Headphones,Alexandria,596,3,1788,536.4
2025-05-05,Tablet,Cairo,947,3,2841,852.3
2025-10-09,Monitor,Cairo,235,3,705,211.5
2025-12-13,Headphones,Mansoura,497,5,2485,745.5
2025-07-08,Tablet,Cairo,301,1,301,90.3
2025-07-20,Monitor,Mansoura,227,5,1135,340.5
2025-09-16,Laptop,Alexandria,1278,5,6390,1917.0
2025-02-09,Smartphone,Alexandria,576,4,2304,691.1999999999999
2025-05-14,Tablet,Mansoura,860,5,4300,1290.0
2025-08-19,Smartphone,Alexandria,346,1,346,103.8
2025-06-22,Monitor,Mansoura,133,4,532,159.6
2025-01-19,Headphones,Cairo,502,4,2008,602.4
2025-08-26,Smartphone,Alexandria,1456,1,1456,436.8
2025-08-21,Laptop,Cairo,408,3,1224,367.2
2025-09-07,Monitor,Cairo,153,3,459,137.7
2025-06-02,Smartphone,Cairo,946,4,3784,1135.2
2025-05-01,Laptop,Cairo,467,3,1401,420.3
2025-12-31,Tablet,Cairo,417,1,417,125.1
2025-09-15,Tablet,Cairo,1149,1,1149,344.7
2025-09-17,Headphones,Cairo,1003,4,4012,1203.6
2025-11-18,Headphones,Mansoura,245,1,245,73.5
2025-02-02,Headphones,Cairo,298,2,596,178.79999999999998
2025-02-20,Smartphone,Mansoura,470,3,1410,423.0
2025-04-04,Tablet,Mansoura,1208,1,1208,362.4
2025-04-15,Monitor,Cairo,400,5,2000,600.0
2025-09-03,Headphones,Mansoura,1475,1,1475,442.5
2025-11-23,Headphones,Alexandria,317,4,1268,380.4
2025-10-19,Headphones,Alexandria,1464,4,5856,1756.8
2025-12-09,Monitor,Cairo,182,3,546,163.79999999999998
